Issuer|Ticker|CUSIP|CIK
CARDIOGENICS HLDGS INC COM STK|CGNHE|14160X203|1089029
CARBON GREEN INC COM STK (NV) |CGNI|141113100|
CANGENE CORP|CGNOF|13758B102|
ChinaGrowth North Acquisition |CGNQF|G21116127|1363613
CHINA GRANITE CORPORATION|CGNT|16937Y109|
CHINAGROWTH NORTH ACQUISITION|CGNUF|G21116101|1363613
COGNIGEN NETWORKS INC-NEW|CGNW|19242L200|
COGNEX CORP|CGNX|192422103|851205
ChinaGrowth North Acquisition |CGNYF|G21116119|1363613
CALAMOS GLOBAL TOTAL RETURN FU|CGO|128118106|1285650
COLLEGE PARTNERSHIP INC|CGPA|194375101|1103137
COLLEGE PARTNERSHIP INC|CGPAE|194375101|1103137
CHINA REDSTONE GRP INC COM STK|CGPI|16949L103|1012270
CHINA REDSTONE GRP INC COM STK|CGPIE|16949L103|1012270
CYBER GROUP NETWORK CORP-NEW|CGPN|23244V208|1076939
CYBER GROUP NETWORK CORP-NEW|CGPNE|23244V208|1076939
COASTAL FIN I 8.375% TOPRS|CGPPR|190463208|
CONSOLIDATED GENERAL CORP|CGPT|209266105|
BANK AMER SPX CAPPED LEVER IND|CGQ|06052H742|
CLAUDE RESOURCES INC (CDA)|CGR|182873109|
CGROWTH CAPITAL INC COM STK (D|CGRA|15722A102|
Cougar Biotechnology, Inc. Com|CGRB|222083107|
CHINA GREEN ENERGY INDUSTRIES,|CGRE|16940H101|
CORAL GOLD RESOURCES LTD|CGREF|218002103|
CITIGROUP INC. DEP SH REPSTG 1|CGRFP|172967556|
COUGAR HOLDINGS INC|CGRH|22208Q106|1165780
CANADIAN GENL INVTS LTD|CGRIF|135825107|
CHINA ENTERTAINMENT GROUP, INC|CGRP|16939C105|
COOKER RESTAURANT CORPORATION |CGRTQ|216284208|
CHARIOT GROUP INC|CGRU|159632108|
Chyron Corporation New Common |CGS|171605306|
C G S SCIENTIFIC CORP|CGSC|125377101|
Columbus Geographic Systems (G|CGSE|199106105|
Columbus Geographic Systems (G|CGSEE|199106105|
C G SMITH LTD SPONS ADR|CGSMY|125394106|
CHINA TOPREACH INC.|CGSQF|G21117117|
CHINAGROWTH SOUTH ACQUISITION|CGSUF|G21117125|1363614
CHINA TOPREACH INC. ORDINARY S|CGSXF|G21117109|
CAPITAL GROWTH SYSTEMS INC|CGSY|14019A107|
CAPITAL GROWTH SYSTEMS INC|CGSYE|14019A107|
CAPITAL GROWTH SYSTEMS INC|CGSYQ|14019A107|
CAE INC|CGT|124765108|18061
C G & T CORP|CGTC|125257105|
CORGENTECH INC|CGTK|21872P501|1131517
CORGENTECH INC|CGTKD|21872P501|1131517
CARSO GLBL TELECOM CV SPNS ADR|CGTVY|14574P101|
COM-GUARD.COM INC|CGUD|199751108|1103759
COM-GUARD.COM INC|CGUDE|199751108|1103759
CAREGUIDE INC DEL COM STK (NV)|CGUE|14171A200|
Casino Guichard Perrachon SA U|CGUIY|14758Q107|
MARGATE INDUSTRIES INC NEW|CGUL|566902409|
CGG VERITAS ADS RPTSTG 1 ORD S|CGV|204386106|
CLAYMORE GUGGENHEIM S&P GLOBAL|CGW|18383Q507|
CONSOLIDATED GOLD WIN VENTURES|CGWJF|208967208|
CONSOLDATED GD WIN VENT INC-F |CGWVF|208967109|
CONSOLIDATED GRAPHICS INC|CGX|209341106|921500
CGX ENERGY INC ORD SHS (CDA)|CGXED|125405506|
CGX ENERGY INC ORD SHS (CDA)|CGXEF|125405506|
CERAGENIX PHARMACEUTICALS, INC|CGXP|15672C108|
CLEAN ENERGY COMBUSTION SYS IN|CGYB|18449A108|1096013
CALENERGY CAP TR II 6.25% CV T|CGYEP|12946P403|
China Longyi Group Internation|CGYG|16942Q109|
CHAMPION AMERICAN ENERGY RESER|CGYJ|15849W102|
CAPCO ENERGY INC NEW|CGYN|13916P209|354767
CAPCO ENERGY INC NEW|CGYNE|13916P209|354767
CAPCO ENERGY INC NEW|CGYNQ|13916P209|354767
CHINA ENERGY RECOVERY INC NEW |CGYV|16943V206|1208790
CHINA ENERGY RECOVERY INC NEW |CGYVE|16943V206|1208790
COTELLIGENT INC|CGZT|221630106|
ABERDEEN CHILE FUND INC|CH|00301W105|846676
CHINA TELECOM CORP LTD ADS (RE|CHA|169426103|
CHAD THERAPEUTICS INC|CHAD|157228107|
CHAD THERAPEUTICS INC|CHADE|157228107|
CHAD THERAPEUTICS INC|CHADQ|157228107|
CHANCELLOR GROUP INC|CHAG|15883D101|894544
LIFE MEDICAL SCIENCES INC|CHAI|53215M101|
CHAPARRAL STEEL COMPANY|CHAP|159423102|1319048
CHAPARRAL RESOURCES INC|CHAR|159420306|19252
CHINA AGRO SCIENCES CORP|CHAS|16937D105|
CHATCOM INC|CHAT|161723101|
CHAMPION ENTERPRISES INC|CHB|158496109|814068
Chiba Bank Ltd (The) Unsponsor|CHBAY|167071109|
CHAUS BERNARD INC.|CHBD|162510200|793983
CHAUS BERNARD INC.|CHBDE|162510200|793983
CROGHAN BANCSHARES INC|CHBH|227072105|887149
CHINA BIOPHARMA, INC. NEW COMM|CHBO|16937L206|
China Biopharma, Inc. New Comm|CHBOE|16937L206|
CHINA BIOPHARMACEUTICALS HLDGS|CHBP|16936V106|
China-Biotics, Inc. Common Sto|CHBT|16937B109|1271057
CHINA HYDROELECTRIC CORP SPONS|CHC|16949D101|1477156
CONS HEALTH CARE ASSOC INC|CHCAQ|20935C200|
CHINA CHEMICAL CORP. COMMON ST|CHCC|169386109|
China 3C Group Common Stock|CHCG|169362100|
China 3C Group Common Stock|CHCGE|169362100|
COMSTOCK HLDG COS INC CL A COM|CHCI|205684103|1299969
CHINA CITIC BANK ADR (CHN)|CHCJY|169389202|
CHINA CONTINENTAL INC|CHCL|169372109|
CHINA CONTINENTAL INC|CHCLE|169372109|
Citizen Holdigs Co Ltd Unspons|CHCLY|172989105|
CITY HOLDINGS CO|CHCO|177835105|726854
COMPREHENSIVE CARE CORP|CHCR|204620207|22872
CHINA HYDROELECTRIC CORP WARRA|CHCWS|G2112E145|
CHURCH & DWIGHT CO INC|CHD|171340102|313927
CHINA DIGITAL ANIMATION DEV IN|CHDA|168927101|
CHINA DIGITAL ANIMATION DEV IN|CHDAE|168927101|
CHURCHILL DOWNS INC|CHDN|171484108|20212
CHDT Corporation Common Stock |CHDO|12541A108|814926
Christian Dior SA Unsponsored |CHDRY|170715106|
CHARIOT RESOURCES LTD|CHDSF|15963M104|
CHINA DIRECT TRADING CORPORATI|CHDT|16938E102|
CHINA DIRECT TRADING CORPORATI|CHDTE|16938E102|
CANADIAN HYDRO DEVELOPERS|CHDVF|13605E101|
CHINA DIGITAL WIRELESS INC|CHDW|169383106|
CHINDEX INTL INC|CHDX|169467107|922717
CHEMED CORPORATION|CHE|16359R103|19584
THE CHEF'S WAREHOUSE, INC COM |CHEF|163086101|1517175
CHELL GROUP CORP|CHEL|163223100|797313
CHEMICORP INT'L INC|CHEM|163815202|
COCHLEAR ORD PLC A$ 0.10 PAR U|CHEOY|191459205|
QUANTSHARES US MKT NEUTRAL VAL|CHEP|351680202|
CHESTER HLDGS LTD|CHES|165779208|
CHEUNG KONG HOLDINGS LTDADR|CHEUY|166744201|
CHEVIOT FINL CORP|CHEV|16677X105|1528843
CHEVIOT FINL CORP|CHEVD|16677X105|1528843
CHINA ENERGY AND CARBON BLACK|CHEY|16938X100|1110569
CONVERIUM FIN SA GTD SUB NT (L|CHF|21248Y202|
CHEMICAL FINANCIAL CORP|CHFC|163731102|19612
China Foods Ltd Unsponsored AD|CHFHY|168916104|
CHINA FINANCE INC|CHFI|169378106|1123440
CHINA FINANCE INC|CHFIE|169378106|1123440
CHARTER FINANCIAL CORP.NEW|CHFN|16122W108|1136796
China Forestry inc. Common Sto|CHFY|16943P100|
CH ENERGY GRP INC(HOLDING CO) |CHG|12541M102|1061393
Chugai Pharmaceutical Ltd Unsp|CHGCY|171269103|
CTRL HUDSON GAS&ELC CP 4.96%|CHGEL|153609870|
CENT HUDSON G&E 4.75% PFD|CHGEM|153609300|
CENT HUDSON G&E 4.50% PFD|CHGEN|153609201|
CENTRAL HUDSON G&E 4.35% PF-D |CHGEZ|153609888|
CHEGG INC COM STK (DE)|CHGG|163092109|1364954
China Carbon Graphite Group, I|CHGI|16936H107|1075861
CAPITAL HILL GOLD, INC. NEW|CHGIE|14018X207|
CHICAGO PIZZA & BREWERY INC|CHGO|167889104|
CHINA GENGSHENG MINERALS, INC.|CHGS|16942P101|1338578
China Energy Corporation Commo|CHGY|16939M103|1335137
CHOICE HOTELS INT'L INC(NEW)|CHH|169905106|1046311
CHINA BIO-IMMUNITY CORPORATION|CHHB|16943X202|1345479
CHINA HEALTH INDS HLDGS INC CO|CHHE|169398104|
CHINA HEALTH HOLDING, INC.|CHHH|169395100|
CHINA HOLDINGS INC COM STK (NV|CHHL|16942B102|
CHINA HOLDINGS INC COM STK (NV|CHHLE|16942B102|
CH LIGHTING INTERNATIONAL CORP|CHHN|157224106|
C&D TECHNOLOGIES INC COM STK (|CHHP|124661208|
C&D TECHNOLOGIES INC. NEW COM |CHHPD|124661208|
CALAMOS CONV OPPORTUNITIES & I|CHI|128117108|1171471
GLOBAL X CHINA TECHNOLOGY ETF |CHIB|37950E804|
CHAROLETTE RUSSE HOLDINGS INC |CHIC|161048103|1092006
CHINA DIGITAL COMM|CHID|169381100|1144320
GLOBAL X CHINA ENERGY ETF|CHIE|37950E507|
CHINA FOOD & BEVERAGE CO|CHIF|169374204|
GLOBAL X CHINA INDUSTRIALS ETF|CHII|37950E705|
CHILL TECH INDUSTRIES INC|CHIL|169074101|
GLOBAL X FDS GLOBAL X CHINA MA|CHIM|37950E242|
CDC CORPORATION CL A COM|CHINA|G2022L114|
CDC CORPORATION CL A NEW COM|CHIND|G2022L114|
CHINA BIO-ENERGY CORP. COMMON |CHIO|168933109|860131
CHINA BIO-ENERGY CORP. COMMON |CHIOD|168933109|860131
VERICHIP CORPORATION COM|CHIP|92342V105|
GLOBAL X CHINA CONSUMER ETF|CHIQ|37950E408|
CHIRON CORP|CHIR|170040109|706539
CHARTER INTL PLC UNSPONSORED|CHITY|161235106|
GLOBAL X CHINA FINANCIALS ETF |CHIX|37950E606|
CHINA CHANG JIANG MINING & NEW|CHJI|16890B104|
CHANNEL RES LTD-NEW-|CHJRF|15916P105|
CHESAPEAKE ENERGY CORP|CHK|165167107|895126
Chesapeake Energy Corporation |CHKDH|165167834|
CHESAPEAKE ENERGY CORP CONVERT|CHKDK|165167842|
CHESAPEAKE ENERGY CORP PFD CON|CHKDL|165167859|
CHEROKEE INC|CHKE|16444H102|844161
CHEROKEE BANKING COMPANY|CHKJ|164154106|1077535
CHESAPEAKE MIDSTREAM PARTNERS,|CHKM|16524K108|
CHECK POINT SOFTWR TECHNLS LTD|CHKP|M22465104|
CHESAPEAKE ENERGY CORP 6% CUM|CHKPR|165167701|
CHESAPEAKE GRANITE WASH TR COM|CHKR|165185109|1524769
CHEMOKINE THERAPEUTICS CORP|CHKT|16383P107|1092959
CHINA MOBILE LIMITED|CHL|16941M109|
MARKET VECTORS ETF TR|CHLC|57060U282|
CENTENNIAL SPECIALTY FOODS COR|CHLE|151368107|1227167
China Housing & Land Developme|CHLN|16939V103|1303330
China Logistics Group, Inc. Co|CHLO|16944B100|1123493
China Logistics Group, Inc. Co|CHLOE|16944B100|1123493
CHANCELLOR CORP|CHLR|158828103|
CHINA HEALTH CARE ACQUISITION |CHM|16939Q104|1366922
CHINA MEDIA GROUP CORPORATION |CHMD|169419108|883813
CHINA MEDIA GROUP CORPORATION |CHMDE|169419108|883813
CHINA MEDICINE CORPORATION COM|CHME|169491107|
CHINA MEDICINE CORPORATION COM|CHMEE|169491107|
CHEMUNG FINL CORP|CHMG|164024101|763563
CHERRY HILL MTG INVT CORP COM |CHMI|164651101|1571776
CHINAMALLUSA.COM INC|CHML|16945M105|
CHESTER MINING CO|CHMN|165879107|
CHINA MOBILE MEDIA TECHNOLOGY |CHMO|16950C109|
CHINA MOBILE MEDIA TECHNOLOGY |CHMOE|16950C109|
CHAMPION INDS INC|CHMP|158520106|19149
CHIMERA ENERGY CORP COM STK (N|CHMR|16934U100|
CHINA MOBILITY SOLUTIONS INC|CHMS|1694EP108|1082603
CHINA MOBILITY SOLUTIONS INC|CHMSE|1694EP108|1082603
CHEMTURA CORP COM STK|CHMT|163893209|1091862
CHINA HEALTHCARE ACQUISITION U|CHMU|16939Q203|
CHINA HEALTH CARE ACQUISITION |CHMWS|16939Q112|1366922
CHINA FUND INC (THE)|CHN|169373107|845379
POWERSHARES CHINA A-SHARE PORT|CHNA|73935B888|
CHINA PACIFIC INC.|CHNAQ|169404308|
CHINA INFRASTRUCTURE CONSTRUCT|CHNC|16948K106|
CHINA INFRASTRUCTURE CONSTRUCT|CHNCE|16948K106|
China Direct, Inc. Common Stoc|CHND|169384104|
China Natural Gas, Inc. New Co|CHNG|168910206|
CHANNELL COMMERCIAL CORP|CHNL|159186105|1013696
China Opportunity Acquisition |CHNQ|16941S106|1374061
China Opportunity Acquisition|CHNQU|16941S205|1374061
CHINA OPPORTUNITY ACQUISITION|CHNQW|16941S114|1374061
CHINA NATURAL RESOURCES, INC|CHNR|G2110U109|
CHINANET ONLINE HLDGS INC COM |CHNT|16949H102|1376321
CHINA EDUCATION RESOURCES INC |CHNUF|16938U106|
CASH NOW CP|CHNW|14754W108|
CHINA OPPORTUNITY ACQUISITION |CHNWE|16941S114|1374061
CHINA NETWORKS INTL HLDGS LTD |CHNWF|G21125110|
BARCLAYS BK PLC IPATH PURE BET|CHOC|06740P130|
BARCLAYS BK PLC IPATH PURE BET|CHOC|06740P130|809012
CASTLE HOLDING CORP|CHOD|148452105|
CHINA OILFIELD SVCS LTD SPONS |CHOLY|168909109|
CHINA GERUI ADVANCED MATERIALS|CHOP|G21101103|
CHINA GERUI ADVANCED MATERIALS|CHOPW|G21101111|
CHINA ORGANIC FERTILIZER, INC.|CHOR|16949Q102|
CHOOSE RAIN, INC. NEW COMMON S|CHOS|17039X106|
C&D TECHNOLOGIES INC.|CHP|124661109|808064
CHIPPAC INC.|CHPC|169657103|1093779
CHESAPEAKE GOLD CORP (CANADA) |CHPGF|165184102|
CHINA PRINTING & PACKAGING, IN|CHPI|16950X103|
CHINA PRINTING, INC.|CHPIE|16941L101|
CHINA POLYPEPTIDE GROUP, INC. |CHPN|16949C103|
CLEAN HYDROGEN PRODUCERS LTD C|CHPO|18450R107|
CSPC PHARMACEUTICALS GROUP LTD|CHPTY|12591J108|
CHINA PACIFIC INSURANCE GROUP |CHPXY|16951T101|
CHALLENGER ENERGY CORP COMMON|CHQ|15758N101|
CHALLENGER ENERGY CORP COMMON |CHQGF|15758N101|
SCOR HOLDING (SWITZELAND) LTD|CHR|80918K108|1438355
CHINA RESOURCE DEVEL INC|CHRB|169406303|793628
CHORDIANT SOFTWARE INC COM STK|CHRD|170404305|1042134
CHORDIANT SOFTWARE INC COM STK|CHRDD|170404305|1042134
CHARISTA GLOBAL CORP COM STK (|CHRG|159638105|
CHARISTA GLOBAL CORP NEW COMMO|CHRGD|159638204|
CHINA HEALTH RESOURCE, INC. CL|CHRI|16942M207|1173784
CHEROKEE INTL CORP|CHRK|164450108|1090069
CHARM COMMUNICATIONS INC ADR R|CHRM|16112R101|
CHINA HUAREN ORGANIC PRODS INC|CHRN|16941V109|
CHROMALUX CORP (NEW)|CHRO|171110208|
CHEM RX CORPORATION WARRANT 10|CHRQE|163536113|
CHAPLEAU RESOURCES LTD|CHRRF|15951E106|
CHARMING SHOPPES INC|CHRS|161133103|19353
CHARTERED SEMICONDUCTOR MANUFA|CHRT|16133R205|
CHARTERED SEMICONDUCTOR MANUFA|CHRTD|16133R205|
CHARTERED SEMICONDUCTOR MANUFA|CHRTR|16133R122|
CHILCO RIVER HOLDINGS INC.|CHRV|16870R103|
C.H. ROBINSON WORLDWIDE INC NE|CHRW|12541W209|1043277
C.H. ROBINSON WORLDWIDE INC NE|CHRWD|12541W209|1043277
CHEM RX CORPORATION COMMON STO|CHRX|163536105|
CHEM RX CORPORATION COMMON STO|CHRXE|163536105|
CHEM RX CORPORATION COMMON STO|CHRXQ|163536105|
CHEM RX CORPORATION UNIT 10/20|CHRXU|163536204|
CHEM RX CORPORATION WARRANT 10|CHRXW|163536113|
CHORUS LIMITED SPONSORED ADR (|CHRYY|17040V107|
COMPUTER HORIZONS CORP|CHRZ|205908106|23019
CHICO'S FAS INC.|CHS|168615102|897429
CHS INC PREFERRED CLASS B SERI|CHSCN|12542R506|
CHS INC PREFERRED CLASS B|CHSCO|12542R308|
CHS INC CUM REDEMABLE PFD 8%|CHSCP|12542R209|823277
CATALYST HEALTH SOLUTIONS, INC|CHSI|14888B103|1090403
CHINA SHOUGUAN MINING CORPORAT|CHSO|169420106|
CHESAPEAKE LODGING TRUST COMMO|CHSP|165240102|1473078
CHS INC PREFERRED CLASS B SERI|CHSPP|12542R506|
CHINA HOLDINGS ACQUISITION COR|CHSQ|16942N106|1408348
CHINA HOLDIGNS ACQUISITION COR|CHSQW|16942N114|
CYPRESS HILLS RESOURCE CORP|CHSRF|232792101|
CREATIVE HOST SVCS INC|CHST|22527P102|
CHINA HIGH SPEED TRANSMISSIN E|CHSTY|169416104|
CHS ELECTRONICS INC|CHSWQ|12542A206|
CHS INC PREFERRED CLASS B|CHSXP|12542R308|
CHUNGHWA TELECOM CO LTD SPON A|CHT|17133Q502|
CHINA TEL GROUP INC. COMMON ST|CHTL|16944J103|1357531
CHINA TEL GROUP INC. COMMON ST|CHTLE|16944J103|1357531
CHATHAM CORP|CHTM|161879200|
CHELSEA THERAPEUTICS INT'L LTD|CHTP|163428105|1333763
CHARTER COMM INC DEL CL A COM |CHTR|16117M305|1091667
CHARTER COMMUNICATIONS CL-A|CHTRQ|16117M107|
CHATTEM INCORPORATED|CHTT|162456107|19520
CHINA UNICOM (HONG KONG) LIMIT|CHU|16945R104|
CHURCHILL TECHNOLOGY INC|CHUR|171569205|
O'CHARLEYS INC|CHUX|670823103|864233
CHUYS HLDGS INC COM STK (DE)|CHUY|171604101|1524931
CHURCHILL VENTURES LTD COM STK|CHV|17157P109|1367880
CHINA VOICE HOLDING CORP COM|CHVC|16946A100|1333491
EMPEROR MINERALS LTD. ORDINARY|CHVFF|29158X106|
CHINA VANTAGEPOINT ACQUISITION|CHVQF|G2161W137|
CHURCHILL VENTURES LTD UNIT 1|CHVU|17157P208|
CHURCHILL VENTURES LTD WTS EXP|CHVWS|17157P117|
CALAMOS GLOBAL DYNAMIC INCOME |CHW|12811L107|1396277
Chatsworth Data Solutions, Inc|CHWD|162307102|
CHINAWE.COM INC|CHWE|169464104|
China Water Group, Inc. Common|CHWG|16946D104|
China Water Group, Inc. Common|CHWGE|16946D104|
CHINA WI-MAX COMMUNICATIONS IN|CHWM|16948L104|1434667
CHINA WI-MAX COMMUNICATIONS IN|CHWME|16948L104|1434667
CHARTWELL INTL INC NEW|CHWN|161399308|1329184
CHINA WIRELESS TECHNOLOGIES LT|CHWTY|169459104|
CHINA WIND SYSTEMS, INC. NEW C|CHWY|16945F209|
WISDOMTREE TR CHINA DIVIDEND E|CHXF|97717X719|
PITCHBLACK RES LTD ORD SHS (CD|CHXMF|724352109|
EGSHARES CHINA INFRASTRUCTURE |CHXX|268461837|
CALAMOS CONV & HIGH INCOME FD |CHY|12811P108|1222719
Chiyoda Corp Unsponsored ADR (|CHYCY|17025X102|
CATHAY FINL HLDG;SPON GDR REP |CHYFF|14915V205|
CHR HANSEN HLDG A/S SPONSORED |CHYHY|12545M207|
CHYRONHEGO CORP COM STK (NY)|CHYR|171607104|20232
CHARYS HOLDING CO INC|CHYS|161420104|845879
CHARYS HOLDING CO INC|CHYSE|161420104|845879
CHARYS HOLDING CO INC|CHYSQ|161420104|845879
China Youth Media, Inc Common |CHYU|16947Y107|
MIDWEST ENERGY EMISSIONS CORP.|CHYUD|59833H101|728385
CHITTENDEN CORP|CHZ|170228100|200138
COMPUTER HORIZONS CORP COM STK|CHZS|205908304|
CIGNA CORP|CI|125509109|701221
CITIZENS INC CL-A|CIA|174740100|24090
CHINA MENGNIU DAIRY CO LTD UNS|CIADY|169495108|
CHINA SCORE INC|CIAS|169415106|
CORNERSTONE INDUSTRIES INTERNA|CIAUF|21924X106|
BANCOLOMBIA S.A. ADS(RP 4 PFD)|CIB|05968L102|
COMMERCIAL INTERNATIONAL BK LT|CIBEY|201712304|
CIB MARINE BANCSHARES INC|CIBH|12542L103|
CADEMA CORP|CIBM|127386100|
COMMUNITY INVESTORS BANCORP, I|CIBN|203719208|948976
Caribou Resources Corp Common|CIBUF|142142108|
CHINA INTERNET CAFE HOLDINGS G|CICC|16950J104|1373846
CIC HOLDING COMPANY, INC. COM|CICG|125436105|
China Construction Bank Corpor|CICHY|168919108|
COMMUNICTN INTELLIGENCE CORP|CICI|20338K106|727634
Cicero, Inc. Common Stock|CICN|171708100|945384
CHINA COSCO HOLDINGS CO LTD UN|CICOY|168918100|
CARBONICS CAPITAL CORP COMMON |CICS|141335109|
CANADIAN HOTEL INCOME PPTYS RE|CICUF|135928109|
CITIGROUP GLB MKTS % SEQUINS B|CID|173075862|
China Agri Industries Holdings|CIDHY|168924108|
CHART INDUSTRIES INC NEW|CIDI|16115Q209|892553
CINEDIGM CORP., CLASS A COM ST|CIDM|172406100|1173204
Cicada Ventures Ltd Ordinary S|CIDVF|171640105|
COBALT INTL ENERGY INC (DE)|CIE|19075F106|1471261
CORRIENTE RESOURCES INC (F)|CIEBF|22027E102|
CHISEN ELECTRIC CORPORATION NE|CIEC|17012M200|
CIC ENERGY CORP ORD SHS (VIRGE|CIEGF|G2136R106|
CIENA CORP COM NEW|CIEN|171779309|936395
CIENA CORP COM NEW|CIEND|171779309|936395
MFS INTERMEDIATE HIGH INCOME F|CIF|59318T109|833021
CI Financial Corp. Ordinary Sh|CIFAF|125491100|
CIFC CORP COM STK (DE)|CIFC|12547R105|1313918
CHINA FISHERY GRP LTD UNSPON A|CIFHY|16890K104|
CI FUND MANAGEMENT INC|CIFMF|12549K108|
CHINA INFORMATION SECURITY TEC|CIFS|16944F101|
CEMIG-CO ENERGETICA NV PF NEW |CIG|204409601|
COMPHANIA ENERGETICA DE MINAS |CIGC|204409882|
ANCONIA RESOURCES CORP. ORDINA|CIGCD|03333A109|
CITADEL GOLD MINES INC (F)|CIGCF|172855108|
CITIGROUP GLOBAL MKTS HLDGS IN|CIGHL|173076209|
CITIGROUP GBL MKTS HLDGS INC E|CIGHM|173076886|
CITGROUP GLBL MKTS HLDGS INC E|CIGHO|173076837|
COACH INDUSTRIES GRP INC|CIGI|18975Y108|791115
COACH INDUSTRIES GRP INC|CIGIE|18975Y108|791115
COACH INDUSTRIES GRP INC|CIGIQ|18975Y108|791115
CARIBBEAN CIGAR CO.|CIGR|141834200|
CITIGROUP INC. DEP SHS REPSTG |CIGRL|172967358|
CIG WIRELESS CORP. COMMON STOC|CIGW|12551W107|1432754
CIG WIRELESS CORP. COMMON STOC|CIGWE|12551W107|1432754
STAR SCIENTIFIC INC|CIGX|85517P101|776008
Citigroup Cap XIV Gtd Enhanced|CIGXP|17309E200|
CHANGDA INTL HLDGS INC NEW (NV|CIHD|15910R206|
CHANGDA INTL HLDGS INC (NV)|CIHI|15910R107|1417624
CHINA MERCHANTS BK CO LTD UNSP|CIHKY|16950T102|
CARIBBEAN INTERNATIONAL HOLDIN|CIHN|14185U101|
CIPHER HOLDINGS CORP|CIHR|17253E107|
CHINA INTL TOURISM HLDGS LTD C|CIHS|16939X109|
BLACKROCK ENHANCED CAP & INCOM|CII|09256A109|1278895
CHINA INFRASTRUCTURE INVESTMEN|CIIC|16944H107|
COLOR IMAGING INC.(GA) COMMON |CIIG|19624W105|
CHINA INFRASTRUCTURE INVESTMEN|CIIV|16944H107|
CHINESEINVESTORS COM INC COM N|CIIX|16947Q203|1459482
CREDIT SUISSE ASST MG INCM FD |CIK|224916106|810766
CHINA INTELLIGENT LIGHTING AND|CIL|16890G202|1421525
CHINA INTELLIGENT LIGHTING AND|CILE|16890G202|1421525
CENTRAL ILL LT 4.64% PFD|CILTL|153645304|
CAROLINA MLS INC COM STK NEW (|CILZ|144033305|
CHIMERA INVESTMENT CORP COM|CIM|16934Q109|1409493
CIMA LABS INC|CIMA|171796105|833298
COLOR IMAGING INC|CIMG|196245104|820906
CIC MINING RES LTD (CANADA)|CIMGF|125456103|
CIMNET INC|CIMK|17185N100|1035901
CIMATRON LTD ORD SHS|CIMT|M23798107|
CANADIAN IMPERIAL VENTURE CORP|CIMVF|136076106|
CINERGY CORP|CIN|172474108|899652
CHINA INDUSTRIAL GP INC|CIND|169396108|818726
CINCINNATI FINANCIAL CORP|CINF|172062101|20286
China International Tourism Ho|CINH|16939X208|
CINJET INC COM STK (NV)|CINJ|17248P100|1398137
CINEMAELECTRIC INC|CINM|17243E100|
CINEMAELECTRIC INC|CINME|17243E100|
CINERGY INCOME PRIDES|CINPR|172474207|
CRYSTAL INTL TRAVEL GROUP COM |CINT|229251103|
ASIA SPECIAL SITUATION ACQUISI|CIO|G0538M105|1021853
CASPIAN INTERNATIONAL OIL CORP|CIOC|14766L108|
ASIA SPECIAL SITUATION ACQUISI|CIOU|G0538M113|1021853
ASIA SPECIAL SITUATION ACQUISI|CIOWS|G0538M121|1021853
CIELO SA SPON ADR NEW (BRA)|CIOXD|171778202|
CIELO SA SPON ADR|CIOXY|171778202|
CIPHERGEN BIOSYSTEMS INC|CIPH|17252Y104|
CIPHERGEN BIOSYSTEMS INC|CIPHE|17252Y104|
CENTRAL ILL PUB.SVC CO DEP SHS|CIPSG|153663869|
CENTRAL ILLINOIS PUB SVC CO 5.|CIPSK|153663851|
CENTRAL ILL PUB SVC 4.25 PFD|CIPSL|153663802|
CENTRAL ILL PUB SVC 4% PFD|CIPSN|153663208|
CENTRAL ILL PBLC SVCS 6.625%PF|CIPSP|153663877|
CIRCOR INTERNATIONAL,INC|CIR|17273K109|1091883
CIRCA INC|CIRA|172904104|
CIRTRAN CORPORATION NEW COMMON|CIRC|17276F206|813716
CONTL AIRLINES FINANCE TR II P|CIRFP|210796306|
CIRO INC|CIRI|172752107|
CARDIO INFRARED TECHNOLOGIES I|CIRT|14160L100|
CAMELOT INFORMATION SYSTEMS IN|CIS|13322V105|
CIS ACQUISITION LTD CLASS A SH|CISAA|G21490209|
CIS ACQUISITION LTD UNIT 1 SHS|CISAU|G21490506|
CIS ACQUISITION LTD WARRANT|CISAW|G21490118|
CONTINENTAL INFO SYS CORP NEW |CISC|211497102|
CNINSURE INC SPON ADR (CAYMAN |CISG|18976M103|
CI SELL CARS INC|CISL|12555M204|
CAUSEWAY ENTERTAINMENT CO. COM|CIST|14949R105|
CIT GROUP INC NEW (DE)|CIT|125581801|1171825
China Shipping Container Lines|CITAY|16945H106|
CIT GROUP, INC PFD SERIES A|CITBQ|125581207|
CHILDREN'S INTERNET, INC. (THE|CITC|16875X204|1106861
CHILDREN'S INTERNET INC. (THE)|CITCD|16875X303|
CHILDREN'S INTERNET, INC.|CITCE|16875X105|
CIT Group Inc (DEL) Non Cumula|CITDQ|125581603|
CITIGROUP INC. DEPOSITARY SHAR|CITGL|172967366|
CIT GROUP INC NEW|CITGQ|125581108|
CANTERBURY CONSULTING GROUP IN|CITI|138108402|794927
CT HOLDINGS INC|CITN|12643Y103|
CITIGROUP INC DEP SHS REPSTG 1|CITNP|172967572|
COMSYS IT PARTNERS, INC|CITP|20581E104|948850
CIT GROUP, INC PFD SERIES B|CITQO|125581306|
AVALON CORRECTIONAL SVCS INC|CITY|053436101|872202
CFS BANCORP INC|CITZ|12525D102|1058438
ISHARES TR|CIU|464288638|
ISHARES TR|CIU|464288638|874992
